Customer_ID,Customer_Name,Gender,Age,City,State,Region,Customer_Segment,Join_Date
C078,Rohan Agarwal,Male,24,Mumbai,Maharastra,West,Consumer,2024-05-21
C079,Neha Khanna,Female,38,Kolkata,West Bengal,East,Home Office,2024-12-31
C080,Kavya Malhotra,Female,58,Delhi,Delhi,North,Home Office,2023-01-15
C081,Rahul Saini,Male,61,Kolkata,West Bengal,East,Corporate,2025-02-11
C082,Karan Agarwal,Male,46,Jaipur,Rajasthan,North,Consumer,2023-10-02
C083,Vivaan Gupta,Male,23,Bengaluru,Karnataka,South,Consumer,2023-12-29
C084,Arjun Gupta,Male,38,Kolkata,West Bengal,East,Consumer,2025-05-12
C085,Akash Mishra,Male,58,Delhi,Delhi,North,Consumer,2023-07-06
C086,Ritika Gupta,Female,25,Bengaluru,Karnataka,South,Corporate,2024-02-16
C087,Mohit Yadav,Male,30,Kolkata,West Bengal,East,Home Office,2025-02-15
C088,Karan Kapoor,Male,29,Mumbai,Maharastra,West,Home Office,2025-06-18
C089,Muskan Kumar,Female,23,Jaipur,Rajasthan,North,Home Office,2023-11-10
C090,Aarav Kumar,Male,49,Lucknow,Uttar Pradesh,North,Corporate,2024-03-16
C091,Aman Mehta,Male,56,Lucknow,Uttar Pradesh,North,Corporate,2025-01-31
C092,Mohit Saxena,Male,63,Jaipur,Rajasthan,North,Consumer,2023-12-18
C093,Mohit Patel,Female,58,Kolkata,West Bengal,East,Home Office,2023-08-01
C094,Kavya Saini,Female,27,Bengaluru,Karnataka,South,Consumer,2023-07-29
C095,Mohit Joshi,Male,47,Delhi,Delhi,North,Corporate,2024-08-02
C096,Aditya Arora,Male,24,Jaipur,Rajasthan,North,Consumer,2024-01-15
C097,Priya Agarwal,Female,33,Mumbai,Maharastra,West,Home Office,2023-02-28
C098,Ananya Verma,Female,33,Jaipur,Rajasthan,North,Corporate,2023-04-06
C099,Priya Saxena,Female,64,Kolkata,West Bengal,East,Consumer,2025-04-13
C100,Muskan Jain,Female,46,Jaipur,Rajasthan,North,Corporate,2024-07-16
C101,Karan Saxena,Male,59,Mumbai,Maharastra,West,Corporate,2024-04-11
C102,Simran Saini,Female,27,Delhi,Delhi,North,Consumer,2024-12-02
C103,Neha Kapoor,Female,31,Lucknow,Uttar Pradesh,North,Home Office,2024-06-17
C104,Aditya Bansal,Male,21,Mumbai,Maharastra,West,Home Office,2023-06-30
C105,Rahul Mehta,Male,46,Kolkata,West Bengal,East,Consumer,2025-01-07
C106,Kavya Arora,Female,19,Jaipur,Rajasthan,North,Consumer,2023-06-19
C107,Sneha Agarwal,Female,47,Kolkata,West Bengal,East,Consumer,2025-03-07
C108,Aarav Bansal,Male,34,Mumbai,Maharastra,West,Home Office,2024-11-01
C109,Neha Bansal,Female,21,Delhi,Delhi,North,Consumer,2023-04-11
C110,Rohan Gupta,Male,65,Lucknow,Uttar Pradesh,North,Home Office,2023-04-21
C111,Akash Saxena,Male,48,Kolkata,West Bengal,East,Home Office,2025-02-08
C112,Aman Yadav,Male,31,Kolkata,West Bengal,East,Corporate,2024-04-30
C113,Mohit Arora,Male,68,Bengaluru,Karnataka,South,Corporate,2025-03-02
C114,Nisha Kapoor,Female,48,Lucknow,Uttar Pradesh,North,Home Office,2024-04-08
C115,Ananya Singh,Female,42,Bengaluru,Karnataka,South,Home Office,2023-03-26
C116,Rahul Singh,Male,63,Jaipur,Rajasthan,North,Home Office,2024-03-26
C117,Rahul Mehta,Male,66,Lucknow,Uttar Pradesh,North,Consumer,2023-08-14
C118,Kavya Bansal,Female,67,Mumbai,Maharastra,West,Corporate,2025-06-11
C119,Rohan Sharma,Male,48,Lucknow,Uttar Pradesh,North,Corporate,2023-04-17
C120,Simran Agarwal,Female,34,Lucknow,Uttar Pradesh,North,Corporate,2023-02-06
C121,Rohan Singh,Male,38,Bengaluru,Karnataka,South,Home Office,2023-05-28
C122,Kavya Bansal,Female,36,Bengaluru,Karnataka,South,Consumer,2024-02-29
C123,Akash Mishra,Male,63,Delhi,Delhi,North,Home Office,2025-05-26
C124,Akash Patel,Male,50,Lucknow,Uttar Pradesh,North,Consumer,2025-04-22
C125,Kavya Arora,Female,50,Jaipur,Rajasthan,North,Home Office,2023-03-18
C126,Aarav Mehta,Male,53,Jaipur,Rajasthan,North,Consumer,2025-05-30
C127,Rahul Saxena,Male,49,Lucknow,Uttar Pradesh,North,Corporate,2023-07-06
C128,Mohit Jain,Male,52,Bengaluru,Karnataka,South,Corporate,2023-06-21
C129,Simran Verma,Female,39,Mumbai,Maharastra,West,Home Office,2024-10-11
C130,Aman Yadav,Male,20,Jaipur,Rajasthan,North,Home Office,2024-03-24
C131,Aarav Bansal,Male,45,Bengaluru,Karnataka,South,Consumer,2023-07-16
C132,Nisha Malhotra,Female,44,Lucknow,Uttar Pradesh,North,Home Office,2024-02-13
C133,Priya Saini,Female,18,Bengaluru,Karnataka,South,Corporate,2024-07-20
C134,Priya Jain,Female,38,Delhi,Delhi,North,Corporate,2024-09-14
C135,Akash Kumar,Male,45,Kolkata,Kolkata,East,Consumer,2025-06-18
C136,Arjun Mishra,Male,37,Kolkata,West Bengal,East,Corporate,2025-01-26
C137,Rohan Singh,Male,57,Jaipur,Rajasthan,North,Home Office,2024-07-04
C138,Ananya Jain,Female,20,Bengaluru,Karnataka,South,Home Office,2023-11-20
C139,Pooja Jain,Female,23,Mumbai,Maharastra,West,Corporate,2023-03-09
C140,Simran Saini,Female,43,Kolkata,West Bengal,East,Home Office,2024-02-16
C141,Aditya Khanna,Male,36,Jaipur,Rajasthan,North,Corporate,2024-01-07
C142,Sneha Bansal,Female,35,Lucknow,Uttar Pradesh,North,Corporate,2025-03-12
C143,Muskan Mishra,Female,50,Kolkata,West Bengal,East,Corporate,2025-01-21
C144,Ritika Kumar,Female,49,Delhi,Delhi,North,Home Office,2024-11-13
C145,Rohan Jain,Male,58,Mumbai,Maharastra,West,Home Office,2023-07-18
C146,Ananya Kumar,Female,39,Jaipur,Rajasthan,North,Home Office,2025-03-14
C147,Neha Bansal,Female,52,Delhi,Delhi,North,Home Office,2023-10-03
C148,Aarav Arora,Male,56,Jaipur,Rajasthan,North,Consumer,2023-12-24
C149,Akash Arora,Male,47,Bengaluru,Karnataka,South,Consumer,2023-10-05
C150,Vivaan Kumar,Male,68,Lucknow,Uttar Pradesh,North,Home Office,2025-05-07
C151,Simran Malhotra,Female,20,Kolkata,West Bengal,East,Consumer,2023-09-22
C152,Rahul Verma,Male,46,Kolkata,West Bengal,East,Corporate,2024-11-21
C153,Ritika Yadav,Female,35,Delhi,Delhi,North,Consumer,2024-06-17
C154,Aman Yadav,Male,58,Lucknow,Uttar Pradesh,North,Consumer,2025-02-16
C155,Priya Singh,Female,57,Kolkata,West Bengal,East,Corporate,2023-07-06
C156,Vivaan Malhotra,Male,68,Lucknow,Uttar Pradesh,North,Consumer,2024-11-13
C157,Aarav Jain,Male,42,Kolkata,West Bengal,East,Corporate,2023-10-07
C158,Muskan Mishra,Female,49,Lucknow,Uttar Pradesh,North,Consumer,2023-03-09
C159,Ritika Agarwal,Female,45,Kolkata,West Bengal,East,Corporate,2023-01-30
C160,Mohit Jain,Male,65,Mumbai,Maharastra,West,Corporate,2023-07-27
C161,Karan Verma,Male,21,Jaipur,Rajasthan,North,Home Office,2024-08-12
C162,Karan Patel,Male,20,Bengaluru,Karnataka,South,Consumer,2024-02-09
C163,Arjun Singh,Male,46,Delhi,Delhi,North,Corporate,2023-06-17
C164,Kavya Choudhary,Female,43,Lucknow,Uttar Pradesh,North,Consumer,2023-04-28
C165,Simran Mishra,Female,38,Bengaluru,Karnataka,South,Corporate,2023-10-14
C166,Arjun Jain,Male,51,Delhi,Delhi,North,Consumer,2024-07-04
C167,Nisha Joshi,Female,40,Lucknow,Uttar Pradesh,North,Consumer,2023-12-16
C168,Mohit Bansal,Male,38,Bengaluru,Karnataka,South,Home Office,2023-08-28
C169,Ananya Arora,Female,38,Bengaluru,Karnataka,South,Home Office,2023-03-04
C170,Ritika Jain,Female,58,Mumbai,Maharastra,West,Consumer,2023-02-19
C171,Ritika Saxena,Female,57,Bengaluru,Karnataka,South,Home Office,2025-02-03
C172,Simran Malhotra,Female,22,Kolkata,West Bengal,East,Home Office,2024-06-23
C173,Ananya Arora,Female,67,Jaipur,Rajasthan,North,Corporate,2023-04-14
C174,Simran Gupta,Female,34,Mumbai,Maharastra,West,Corporate,2024-01-12
C175,Muskan Yadav,Female,65,Mumbai,Maharastra,West,Corporate,2023-07-09
C176,Neha Gupta,Female,52,Lucknow,Uttar Pradesh,North,Corporate,2025-04-11
C177,Rahul Malhotra,Male,40,Jaipur,Rajasthan,North,Home Office,2024-05-06
C178,Vivaan Saxena,Male,33,Kolkata,West Bengal,East,Consumer,2023-02-18
C179,Aarav Arora,Male,66,West Bengal,West Bengal,East,Corporate,2023-07-10
C180,Akash Gupta,Male,39,Bengaluru,Karnataka,South,Corporate,2025-05-23
C181,Aarav Joshi,Male,32,Delhi,Delhi,North,Corporate,2023-08-23
C182,Rahul Khanna,Male,51,Lucknow,Uttar Pradesh,North,Home Office,2025-06-13
C183,Akash Arora,Male,38,Bengaluru,Karnataka,South,Home Office,2024-04-13
C184,Akash Arora,Male,70,Kolkata,West Bengal,East,Corporate,2024-07-13
C185,Simran Yadav,Female,61,Jaipur,Rajasthan,North,Home Office,2025-03-28
C186,Nisha Bansal,Female,52,Bengaluru,Karnataka,South,Home Office,2024-02-22
C187,Sneha Mishra,Female,27,Mumbai,Maharastra,West,Home Office,2025-03-24
C188,Kavya Singh,Female,26,Bengaluru,Karnataka,South,Corporate,2024-01-22
C189,Simran Saini,Female,65,Kolkata,West Bengal,East,Consumer,2025-04-19
C190,Aman Mehta,Male,36,Lucknow,Uttar Pradesh,North,Consumer,2024-12-28
C191,Sneha Sharma,Female,34,Mumbai,Maharastra,West,Home Office,2024-01-23
C192,Priya Agarwal,Female,19,Lucknow,Uttar Pradesh,North,Home Office,2024-09-27
C193,Rohan Jain,Male,52,Lucknow,Uttar Pradesh,North,Consumer,2024-06-25
C194,Rohan Saxena,Male,51,Kolkata,West Bengal,East,Home Office,2024-10-21
C195,Arjun Mehta,Female,35,Bengaluru,Karnataka,South,Consumer,2023-01-13
C196,Mohit Khanna,Male,31,Kolkata,West Bengal,East,Home Office,2024-11-28
C197,Aarav Gupta,Male,40,Jaipur,Rajasthan,North,Corporate,2023-04-04
C198,Simran Yadav,Female,55,Delhi,Delhi,North,Home Office,2025-03-12
C199,Mohit Yadav,Male,53,Kolkata,West Bengal,East,Home Office,2024-05-29
C200,Kavya Agarwal,Female,23,Jaipur,Rajasthan,North,Home Office,2024-10-17
