Customer_ID,Customer_Name,Gender,Age,City,State,Region,Customer_Segment,Join_Date,name ,,
C022,Akash Yadav,Female,18,Bengaluru,Bengaluru,South,Consumer,05-02-2023,,,
C023,Aman Mehta,Female,44,Bengaluru,Bengaluru,South,Home Office,15-08-2023,,,
C024,Kavya Verma,Female,49,Jaipur,Jaipur,North,Consumer,02-01-2023,,,
C025,Ananya Joshi,Female,40,Bengaluru,Bengaluru,South,Home Office,15-04-2024,,,
C026,Arjun Arora,Female,23,Bengaluru,Bengaluru,South,Corporate,09-05-2025,,,
C027,Arjun Gupta,Female,20,Bengaluru,Bengaluru,South,Consumer,11-07-2024,,,
C028,Arjun Yadav,Female,66,Bengaluru,Bengaluru,South,Home Office,22-02-2025,,,
C029,Akash Arora,Female,42,Jaipur,Jaipur,North,Consumer,25-11-2023,,,
C030,Neha Mishra,Female,60,Lucknow,Lucknow,North,Consumer,01-05-2025,,,
C031,Nisha Mishra,Female,39,Lucknow,Lucknow,North,Home Office,10-02-2023,,,
C032,Mohit Yadav,Female,47,Delhi,Delhi,North,Home Office,08-08-2023,,,
C033,Pooja Malhotra,Female,49,Bengaluru,Bengaluru,South,Consumer,31-03-2023,,,
C034,Priya Sharma,Female,25,Jaipur,Jaipur,North,Corporate,14-01-2024,,,
C035,Muskan Yadav,Female,37,Delhi,Delhi,North,Corporate,12-10-2024,,,
C036,Muskan Singh,Female,61,Bengaluru,Bengaluru,South,Consumer,17-08-2024,,,
C037,Rahul Patel,Female,70,Jaipur,Jaipur,North,Corporate,20-03-2024,,,
C038,Sneha Saini,Female,39,Delhi,Delhi,North,Consumer,11-01-2024,,,
C039,Aman Malhotra,Female,65,Bengaluru,Bengaluru,South,Consumer,25-11-2024,,,
C040,Priya Verma,Female,50,Kolkata,Kolkata,East,Corporate,10-05-2025,,,
C041,Rahul Jain,Female,41,Lucknow,Lucknow,North,Consumer,09-12-2023,,,
C042,Ritika Khanna,Female,64,Delhi,Delhi,North,Consumer,21-01-2025,,,
C043,Karan Kumar,Female,30,Delhi,Delhi,North,Consumer,07-08-2023,,,
C044,Rohan Verma,Female,33,Delhi,Delhi,North,Home Office,25-05-2025,,,
C045,Simran Gupta,Female,47,Mumbai,Mumbai,West,Consumer,11-01-2025,,,
C046,Aman Verma,Female,58,Delhi,Delhi,North,Corporate,16-04-2024,,,
C047,Rohan Patel,Female,21,Jaipur,Jaipur,North,Home Office,30-03-2024,,,
C048,Aman Sharma,Female,29,Jaipur,Jaipur,North,Consumer,02-08-2023,,,
C049,Rohan Sharma,Female,32,Kolkata,Kolkata,East,Home Office,19-06-2023,,,
C050,Priya Sharma,Female,32,Delhi,Delhi,North,Consumer,15-01-2023,,,
C051,Simran Sharma,Female,62,Kolkata,Kolkata,East,Home Office,17-08-2024,,,
C052,Aman Malhotra,Female,29,Jaipur,Jaipur,North,Corporate,10-01-2024,,,
C053,Ritika Bansal,Female,20,Bengaluru,Bengaluru,South,Corporate,17-07-2023,,,
C054,Rahul Sharma,Female,31,Lucknow,Lucknow,North,Consumer,24-04-2025,,,
C055,Ritika Joshi,Female,31,Mumbai,Mumbai,West,Consumer,18-02-2024,,,
C056,Mohit Joshi,Female,33,Delhi,Delhi,North,Consumer,21-06-2023,,,
C057,Karan Mehta,Female,18,Mumbai,Mumbai,West,Consumer,21-04-2024,,,
C058,Kavya Sharma,Female,46,Jaipur,Jaipur,North,Corporate,30-12-2024,,,
C059,Karan Saini,Female,30,Kolkata,Kolkata,East,Home Office,21-01-2023,,,
C060,Kavya Kumar,Female,69,Bengaluru,Bengaluru,South,Corporate,28-09-2023,,,
C061,Mohit Patel,Female,35,Lucknow,Lucknow,North,Home Office,04-04-2024,,,
C062,Akash Saini,Female,59,Mumbai,Mumbai,West,Corporate,07-04-2023,,,
C063,Ritika Mishra,Female,46,Kolkata,Kolkata,East,Home Office,13-02-2024,,,
C064,Aman Arora,Female,48,Kolkata,Kolkata,East,Home Office,03-02-2023,,,
C065,Neha Singh,Female,53,Mumbai,Mumbai,West,Consumer,27-07-2023,,,
C066,Ananya Verma,Female,28,Delhi,Delhi,North,Corporate,16-07-2024,,,
C067,Simran Bansal,Female,31,Kolkata,Kolkata,East,Corporate,20-02-2023,,,
C068,Nisha Mishra,Female,64,Kolkata,Kolkata,East,Home Office,22-05-2024,,,
C069,Ritika Kapoor,Female,51,Jaipur,Jaipur,North,Consumer,19-02-2025,,,
C070,Aarav Mishra,Female,44,Delhi,Delhi,North,Corporate,13-03-2025,,,
C071,Nisha Yadav,Female,46,Lucknow,Lucknow,North,Corporate,16-03-2025,,,
C072,Aman Saxena,Female,43,Jaipur,Jaipur,North,Corporate,14-11-2024,,,
C073,Ananya Gupta,Female,57,Jaipur,Jaipur,North,Home Office,13-01-2025,,,
C074,Akash Sharma,Female,32,Jaipur,Jaipur,North,Corporate,24-10-2023,,,
C075,Karan Verma,Female,36,Delhi,Delhi,North,Home Office,28-09-2023,,,
C076,Aman Sharma,Female,43,Mumbai,Mumbai,West,Corporate,15-03-2024,,,
C077,Sneha Gupta,Female,20,Mumbai,Mumbai,West,Consumer,06-03-2025,,,
C078,Priya Joshi,Female,24,Mumbai,Mumbai,West,Consumer,21-05-2024,,,
C079,Arjun Kumar,Female,38,Kolkata,Kolkata,East,Home Office,31-12-2024,,,
C080,Akash Yadav,Female,58,Delhi,Delhi,North,Home Office,15-01-2023,,,
C081,Aditya Khanna,Female,61,Kolkata,Kolkata,East,Corporate,11-02-2025,,,
C082,Ritika Agarwal,Female,46,Jaipur,Jaipur,North,Consumer,02-10-2023,,,
C083,Aarav Mehta,Female,23,Bengaluru,Bengaluru,South,Consumer,29-12-2023,,,
C084,Pooja Khanna,Female,38,Kolkata,Kolkata,East,Consumer,12-05-2025,,,
C085,Muskan Choudhary,Female,58,Delhi,Delhi,North,Consumer,06-07-2023,,,
C086,Aman Agarwal,Female,25,Bengaluru,Bengaluru,South,Corporate,16-02-2024,,,
C087,Neha Choudhary,Female,30,Kolkata,Kolkata,East,Home Office,15-02-2025,,,
C088,Aman Verma,Female,29,Mumbai,Mumbai,West,Home Office,18-06-2025,,,
C089,Akash Mishra,Female,23,Jaipur,Jaipur,North,Home Office,10-11-2023,,,
C090,Rahul Patel,Female,49,Lucknow,Lucknow,North,Corporate,16-03-2024,,,
C091,Priya Patel,Female,56,Lucknow,Lucknow,North,Corporate,31-01-2025,,,
C092,Mohit Gupta,Female,63,Jaipur,Jaipur,North,Consumer,18-12-2023,,,
C093,Aarav Kumar,Female,58,Kolkata,Kolkata,East,Home Office,01-08-2023,,,
C094,Neha Yadav,Female,27,Bengaluru,Bengaluru,South,Consumer,29-07-2023,,,
C095,Aditya Sharma,Female,47,Delhi,Delhi,North,Corporate,02-08-2024,,,
C096,Sneha Yadav,Female,24,Jaipur,Jaipur,North,Consumer,15-01-2024,,,
C097,Sneha Saini,Female,33,Mumbai,Mumbai,West,Home Office,28-02-2023,,,
C098,Ritika Mehta,Female,33,Jaipur,Jaipur,North,Corporate,06-04-2023,,,
C099,Muskan Mehta,Female,64,Kolkata,Kolkata,East,Consumer,13-04-2025,,,
C100,Arjun Khanna,Female,46,Jaipur,Jaipur,North,Corporate,16-07-2024,,,
C101,Karan Bansal,Female,59,Mumbai,Mumbai,West,Corporate,11-04-2024,,,
C102,Nisha Yadav,Female,27,Delhi,Delhi,North,Consumer,02-12-2024,,,
C103,Mohit Agarwal,Female,31,Lucknow,Lucknow,North,Home Office,17-06-2024,,,
C104,Aman Bansal,Female,21,Mumbai,Mumbai,West,Home Office,30-06-2023,,,
C105,Vivaan Singh,Female,46,Kolkata,Kolkata,East,Consumer,07-01-2025,,,
C106,Ritika Kumar,Female,19,Jaipur,Jaipur,North,Consumer,19-06-2023,,,
C107,Sneha Kapoor,Female,47,Kolkata,Kolkata,East,Consumer,07-03-2025,,,
C108,Karan Jain,Female,34,Mumbai,Mumbai,West,Home Office,01-11-2024,,,
C109,Rahul Arora,Female,21,Delhi,Delhi,North,Consumer,11-04-2023,,,
C110,Akash Choudhary,Female,65,Lucknow,Lucknow,North,Home Office,21-04-2023,,,
C111,Mohit Joshi,Female,48,Kolkata,Kolkata,East,Home Office,08-02-2025,,,
C112,Pooja Patel,Female,31,Kolkata,Kolkata,East,Corporate,30-04-2024,,,
C113,Aarav Agarwal,Female,68,Bengaluru,Bengaluru,South,Corporate,02-03-2025,,,
C114,Mohit Yadav,Female,48,Lucknow,Lucknow,North,Home Office,08-04-2024,,,
C115,Ananya Saini,Female,42,Bengaluru,Bengaluru,South,Home Office,26-03-2023,,,
C116,Pooja Choudhary,Female,63,Jaipur,Jaipur,North,Home Office,26-03-2024,,,
C117,Sneha Kapoor,Female,66,Lucknow,Lucknow,North,Consumer,14-08-2023,,,
C118,Aarav Jain,Female,67,Mumbai,Mumbai,West,Corporate,11-06-2025,,,
C119,Aarav Sharma,Female,48,Lucknow,Lucknow,North,Corporate,17-04-2023,,,
C120,Priya Yadav,Female,34,Lucknow,Lucknow,North,Corporate,06-02-2023,,,
C121,Kavya Singh,Female,38,Bengaluru,Bengaluru,South,Home Office,28-05-2023,,,
C122,Aman Kapoor,Female,36,Bengaluru,Bengaluru,South,Consumer,29-02-2024,,,
C123,Vivaan Mishra,Female,63,Delhi,Delhi,North,Home Office,26-05-2025,,,
C124,Pooja Jain,Female,50,Lucknow,Lucknow,North,Consumer,22-04-2025,,,
C125,Aarav Yadav,Female,50,Jaipur,Jaipur,North,Home Office,18-03-2023,,,
C126,Nisha Agarwal,Female,53,Jaipur,Jaipur,North,Consumer,30-05-2025,,,
C127,Pooja Verma,Female,49,Lucknow,Lucknow,North,Corporate,06-07-2023,,,
C128,Rohan Mehta,Female,52,Bengaluru,Bengaluru,South,Corporate,21-06-2023,,,
C129,Karan Khanna,Female,39,Mumbai,Mumbai,West,Home Office,11-10-2024,,,
C130,Aman Malhotra,Female,20,Jaipur,Jaipur,North,Home Office,24-03-2024,,,
C131,Simran Choudhary,Female,45,Bengaluru,Bengaluru,South,Consumer,16-07-2023,,,
C132,Ritika Joshi,Female,44,Lucknow,Lucknow,North,Home Office,13-02-2024,,,
C133,Muskan Agarwal,Female,18,Bengaluru,Bengaluru,South,Corporate,20-07-2024,,,
C134,Aman Saini,Female,38,Delhi,Delhi,North,Corporate,14-09-2024,,,
C135,Akash Kapoor,Female,45,Kolkata,Kolkata,East,Consumer,18-06-2025,,,
C136,Aditya Verma,Female,37,Kolkata,Kolkata,East,Corporate,26-01-2025,,,
C137,Ritika Mehta,Female,57,Jaipur,Jaipur,North,Home Office,04-07-2024,,,
C138,Sneha Saxena,Female,20,Bengaluru,Bengaluru,South,Home Office,20-11-2023,,,
C139,Sneha Kumar,Female,23,Mumbai,Mumbai,West,Corporate,09-03-2023,,,
C140,Mohit Patel,Female,43,Kolkata,Kolkata,East,Home Office,16-02-2024,,,
C141,Arjun Sharma,Female,36,Jaipur,Jaipur,North,Corporate,07-01-2024,,,
C142,Priya Malhotra,Female,35,Lucknow,Lucknow,North,Corporate,12-03-2025,,,
C143,Ananya Yadav,Female,50,Kolkata,Kolkata,East,Corporate,21-01-2025,,,
C144,Aman Kumar,Female,49,Delhi,Delhi,North,Home Office,13-11-2024,,,
C145,Ananya Verma,Female,58,Mumbai,Mumbai,West,Home Office,18-07-2023,,,
C146,Pooja Mishra,Female,39,Jaipur,Jaipur,North,Home Office,14-03-2025,,,
C147,Kavya Agarwal,Female,52,Delhi,Delhi,North,Home Office,03-10-2023,,,
C148,Nisha Malhotra,Female,56,Jaipur,Jaipur,North,Consumer,24-12-2023,,,
C149,Simran Mehta,Female,47,Bengaluru,Bengaluru,South,Consumer,05-10-2023,,,
C150,Ritika Verma,Female,68,Lucknow,Lucknow,North,Home Office,07-05-2025,,,
C151,Simran Gupta,Female,20,Kolkata,Kolkata,East,Consumer,22-09-2023,,,
C152,Ananya Sharma,Female,46,Kolkata,Kolkata,East,Corporate,21-11-2024,,,
C153,Neha Mishra,Female,35,Delhi,Delhi,North,Consumer,17-06-2024,,,
C154,Vivaan Yadav,Female,58,Lucknow,Lucknow,North,Consumer,16-02-2025,,,
C155,Vivaan Khanna,Female,57,Kolkata,Kolkata,East,Corporate,06-07-2023,,,
C156,Ritika Khanna,Female,68,Lucknow,Lucknow,North,Consumer,13-11-2024,,,
C157,Simran Mishra,Female,42,Kolkata,Kolkata,East,Corporate,07-10-2023,,,
C158,Rohan Agarwal,Female,49,Lucknow,Lucknow,North,Consumer,09-03-2023,,,
C159,Ritika Kapoor,Female,45,Kolkata,Kolkata,East,Corporate,30-01-2023,,,
C160,Pooja Patel,Female,65,Mumbai,Mumbai,West,Corporate,27-07-2023,,,
C161,Mohit Jain,Female,21,Jaipur,Jaipur,North,Home Office,12-08-2024,,,
C162,Pooja Khanna,Female,20,Bengaluru,Bengaluru,South,Consumer,09-02-2024,,,
C163,Arjun Yadav,Female,46,Delhi,Delhi,North,Corporate,17-06-2023,,,
C164,Aman Bansal,Female,43,Lucknow,Lucknow,North,Consumer,28-04-2023,,,
C165,Simran Choudhary,Female,38,Bengaluru,Bengaluru,South,Corporate,14-10-2023,,,
C166,Simran Choudhary,Female,51,Delhi,Delhi,North,Consumer,04-07-2024,,,
C167,Aarav Patel,Female,40,Lucknow,Lucknow,North,Consumer,16-12-2023,,,
C168,Arjun Gupta,Female,38,Bengaluru,Bengaluru,South,Home Office,28-08-2023,,,
C169,Rahul Kumar,Female,38,Bengaluru,Bengaluru,South,Home Office,04-03-2023,,,
C170,Rahul Kapoor,Female,58,Mumbai,Mumbai,West,Consumer,19-02-2023,,,
C171,Akash Arora,Female,57,Bengaluru,Bengaluru,South,Home Office,03-02-2025,,,
C172,Aman Singh,Female,22,Kolkata,Kolkata,East,Home Office,23-06-2024,,,
C173,Kavya Arora,Female,67,Jaipur,Jaipur,North,Corporate,14-04-2023,,,
C174,Vivaan Saxena,Female,34,Mumbai,Mumbai,West,Corporate,12-01-2024,,,
C175,Nisha Joshi,Female,65,Mumbai,Mumbai,West,Corporate,09-07-2023,,,
C176,Mohit Patel,Female,52,Lucknow,Lucknow,North,Corporate,11-04-2025,,,
C177,Nisha Choudhary,Female,40,Jaipur,Jaipur,North,Home Office,06-05-2024,,,
C178,Aditya Singh,Female,33,Kolkata,Kolkata,East,Consumer,18-02-2023,,,
C179,Priya Jain,Female,66,Kolkata,Kolkata,East,Corporate,10-07-2023,,,
C180,Sneha Agarwal,Female,39,Bengaluru,Bengaluru,South,Corporate,23-05-2025,,,
C181,Aman Arora,Female,32,Delhi,Delhi,North,Corporate,23-08-2023,,,
C182,Aman Khanna,Female,51,Lucknow,Lucknow,North,Home Office,13-06-2025,,,
C183,Mohit Yadav,Female,38,Bengaluru,Bengaluru,South,Home Office,13-04-2024,,,
C184,Rohan Sharma,Female,70,Kolkata,Kolkata,East,Corporate,13-07-2024,,,
C185,Neha Arora,Female,61,Jaipur,Jaipur,North,Home Office,28-03-2025,,,
C186,Aarav Malhotra,Female,52,Bengaluru,Bengaluru,South,Home Office,22-02-2024,,,
C187,Aarav Khanna,Female,27,Mumbai,Mumbai,West,Home Office,24-03-2025,,,
C188,Muskan Arora,Female,26,Bengaluru,Bengaluru,South,Corporate,22-01-2024,,,
C189,Aman Kumar,Female,65,Kolkata,Kolkata,East,Consumer,19-04-2025,,,
C190,Pooja Bansal,Female,36,Lucknow,Lucknow,North,Consumer,28-12-2024,,,
C191,Rahul Kumar,Female,34,Mumbai,Mumbai,West,Home Office,23-01-2024,,,
C192,Mohit Bansal,Female,19,Lucknow,Lucknow,North,Home Office,27-09-2024,,,
C193,Ananya Arora,Female,52,Lucknow,Lucknow,North,Consumer,25-06-2024,,,
C194,Pooja Choudhary,Female,51,Kolkata,Kolkata,East,Home Office,21-10-2024,,,
C195,Simran Saxena,Female,35,Bengaluru,Bengaluru,South,Consumer,13-01-2023,,,
C196,Ritika Mishra,Female,31,Kolkata,Kolkata,East,Home Office,28-11-2024,,,
C197,Aarav Jain,Female,40,Jaipur,Jaipur,North,Corporate,04-04-2023,,,
C198,Vivaan Kumar,Female,55,Delhi,Delhi,North,Home Office,12-03-2025,,,
C199,Kavya Choudhary,Female,53,Kolkata,Kolkata,East,Home Office,29-05-2024,,,
C200,Vivaan Verma,Female,23,Jaipur,Jaipur,North,Home Office,17-10-2024,,,
C005,Arjun Yadav,Female,55,Mumbai,Mumbai,West,Home Office,11-08-2024,,,
,Sneha Verma,,,,,,,,,,
